request_index,round_index,tool_name,tool_call_id,retry_count,success,error_msg,response_preview
1,0,mcp_neko_create_network,call_w9qmtuwZowDYqyb6eApAFj1T__vscode-1754819109258,0,True,,
1,1,mcp_neko_remove_bimodal_interactions,call_6DICrvfIInTWZZuhYuw2alzu__vscode-1754819109259,0,True,,
1,2,mcp_neko_check_disconnected_nodes,call_RRgrZAhjOV1X7haVJROLWSoB__vscode-1754819109260,0,True,,
1,3,mcp_neko_export_network,call_uSRK7y87uCvGicWqnPUuBmUU__vscode-1754819109261,0,True,,
1,4,mcp_neko_list_genes_and_interactions,call_Er4o2OHge7wazcjfqFqkxygD__vscode-1754819109262,0,True,,
1,5,mcp_neko_list_bnet_files,call_N7oKz5WtnItZnX1xZbpZk52k__vscode-1754819109263,0,True,,
1,6,mcp_maboss_bnet_to_bnd_and_cfg,call_AlalHBfAkOeZ1YupELXrjNuh__vscode-1754819109264,0,True,,
1,7,read_file,call_9JqPmzVPxFX9GuB4W8Jp4uQ5__vscode-1754819109265,0,True,,
1,8,read_file,call_uzH0WaYRoxdey5rS1tcHnlyB__vscode-1754819109266,0,True,,
1,9,mcp_neko_remove_undefined_interactions,call_J5AjDC3Vh1dTdmr40g7o4VNX__vscode-1754819109267,0,True,,
1,9,mcp_neko_export_network,call_aq876xdEfKodfD675BNVU0Ae__vscode-1754819109268,0,True,,
1,10,mcp_neko_remove_gene,call_le6m40LjGwINzkCSyYjK1Rve__vscode-1754819109269,0,True,,
1,11,mcp_maboss_check_bnd_and_cfg_name,call_5Yc9VS1R96jj3pOtTM8FzlK5__vscode-1754819109270,0,True,,
1,12,mcp_neko_get_references,call_gwOA9N6Rma1AeV7NjxTESATz__vscode-1754819109271,0,True,,
1,13,mcp_neko_reset_network,call_wHY5CHhvXYVYpp7MBXxKVPol__vscode-1754819109272,0,True,,
1,13,mcp_neko_create_network,call_PTf8Y1WMxtOaAUHhv4vk9kOg__vscode-1754819109273,0,True,,
9,0,mcp_neko_remove_bimodal_interactions,call_fg81NBtQ1ozkj21l1ValeATp__vscode-1754819109274,0,True,,
9,0,mcp_neko_check_disconnected_nodes,call_pigqrzzs0siEECCFkLAYM7lp__vscode-1754819109275,0,True,,
9,1,mcp_neko_export_network,call_BsQFMnhGV6z2ywyy2SFf0lkv__vscode-1754819109276,0,True,,
9,2,mcp_maboss_bnet_to_bnd_and_cfg,call_CBM2001gulVOOPm9FHEeuwfN__vscode-1754819109277,0,True,,
9,3,mcp_maboss_build_simulation,call_bXlJvFbWbkU41d4UOj78FYjD__vscode-1754819109278,0,True,,
9,3,mcp_maboss_set_maboss_output_nodes,call_6Mn86ej4pdaL3kDOIm67XHxY__vscode-1754819109279,0,True,,
9,4,mcp_maboss_update_maboss_parameters,call_GKd1tswz8rbzRu1c06IYmxaV__vscode-1754819109280,0,True,,
9,4,mcp_maboss_run_simulation,call_uZsid0h0QbHsNNUBEvEKruYT__vscode-1754819109281,0,True,,
9,5,mcp_maboss_get_simulation_result,call_SSHn09enxfLatuYlxoSJoBCQ__vscode-1754819109282,0,True,,
9,6,mcp_maboss_set_maboss_initial_state,call_366rEYQXJdtvLAw5Lzifp8ny__vscode-1754819109283,0,True,,
9,7,mcp_maboss_update_maboss_parameters,call_jGcBmFo3vpibUMEc7lX1ATzH__vscode-1754819109284,0,True,,
9,7,mcp_maboss_run_simulation,call_UKB13frqLDEoYQ2FhfjtfwKf__vscode-1754819109285,0,True,,
9,8,mcp_maboss_get_simulation_result,call_wPbWb8IfEdqasqyIz3ytKiZi__vscode-1754819109286,0,True,,
9,9,file_search,call_8RuupZ80nUnquduISq9CFsu0__vscode-1754819109287,0,True,,
9,10,mcp_maboss_update_maboss_parameters,call_1IENTneYpzwjDJsHYOCbeEFq__vscode-1754819109288,0,True,,
9,10,mcp_maboss_update_maboss_parameters,call_XxRlgquLCGbnuorOuRYmkMIG__vscode-1754819109289,0,True,,
9,11,mcp_maboss_simulate_mutation,call_QL22VsRf5fpy2gMc16FHIdjs__vscode-1754819109290,0,True,,
9,12,mcp_maboss_get_network_nodes,call_6eRzgkbAhzOuIlfrHdFt9ElV__vscode-1754819109291,0,True,,
9,12,mcp_maboss_get_maboss_initial_state,call_Ag0c8Hl8dY72uvbcpDCKQOHY__vscode-1754819109292,0,True,,
9,12,mcp_maboss_get_maboss_logical_rules,call_fdDTATPkHdgAlIKktC2eGVYv__vscode-1754819109293,0,True,,
9,13,mcp_maboss_update_maboss_parameters,call_hdWASO2yllDAcRuz2IgjyZox__vscode-1754819109294,0,True,,
9,13,mcp_maboss_update_maboss_parameters,call_UfKEW9IMykn6KzrF8pQSMbdl__vscode-1754819109295,0,True,,
9,14,mcp_maboss_update_maboss_parameters,call_4JiocPWxNlOk2ofVaDuKnxCu__vscode-1754819109296,0,True,,
9,14,mcp_maboss_update_maboss_parameters,call_vGE1fkcDQyJvBzks1B4Ryqqq__vscode-1754819109297,0,True,,
9,15,mcp_maboss_run_simulation,call_K1O0F0GSdnm10ciyQY2ar4wh__vscode-1754819109298,0,True,,
9,15,mcp_maboss_get_simulation_result,call_ViStVKt7BpG8MjRakhh5xjj9__vscode-1754819109299,0,True,,
9,16,mcp_maboss_update_maboss_parameters,call_BCFxziOQ7hKfm8fEkrhxkPSD__vscode-1754819109300,0,True,,
9,17,mcp_maboss_run_simulation,call_dMqCaiib34SXBqc7MXHejwdP__vscode-1754819109301,0,True,,
9,18,mcp_maboss_get_simulation_result,call_mciR15rRTTAjf4E1futdrg0h__vscode-1754819109302,0,True,,
9,19,mcp_maboss_set_maboss_initial_state,call_VKPN69nzmUhZBpIoc3mUwcar__vscode-1754819109303,0,True,,
9,19,mcp_maboss_run_simulation,call_nJu0osDzZanRqOr3ObtO9mwe__vscode-1754819109304,0,True,,
9,19,mcp_maboss_get_simulation_result,call_mS3BAmKM0GqnKuZerVljTHVt__vscode-1754819109305,0,True,,
9,20,mcp_maboss_visualize_network_trajectories,call_bsZyqEvTw3Ygvy3eE60AxliV__vscode-1754819109306,0,True,,
9,21,create_directory,call_20cHyFDvJOKs2cgbTPz3b046__vscode-1754819109307,0,True,,
9,22,create_file,call_qKO8f67hfp4sR0p9Os2AsUnz__vscode-1754819109308,0,True,,
9,22,create_file,call_DHrbOHRSp5DVbP6jVoa2gZmG__vscode-1754819109309,0,True,,
9,23,mcp_maboss_set_maboss_output_nodes,call_Uyl5YzdA9A1tfXhACUFArfCD__vscode-1754819109310,0,True,,
9,23,mcp_maboss_update_maboss_parameters,call_973Hmdn35QMFETX2i3mNFYAE__vscode-1754819109311,0,True,,
9,23,mcp_maboss_set_maboss_initial_state,call_WzFhz2X5T406HrPFu2KINldJ__vscode-1754819109312,0,True,,
9,23,mcp_maboss_run_simulation,call_4u778iYW98jSVbD2Kj7jNp3n__vscode-1754819109313,0,True,,
9,23,mcp_maboss_get_simulation_result,call_kCsXL1L6mT9FLUVcFjWR1arg__vscode-1754819109314,0,True,,
9,24,mcp_maboss_simulate_mutation,call_CtWiqgTwOIw0sSlYSToL8nFh__vscode-1754819109315,0,True,,
9,24,mcp_maboss_simulate_mutation,call_bpAFY66CcDJXqv0jopFK0RNr__vscode-1754819109316,0,True,,
9,24,mcp_maboss_simulate_mutation,call_ZsLiLi8JhPpSiNOZbE11ZqId__vscode-1754819109317,0,True,,
9,25,mcp_maboss_update_maboss_parameters,call_kq0loFNjRtk7bGozp50fjnk9__vscode-1754819109318,0,True,,
