request_index,round_index,tool_name,tool_call_id,retry_count,success,error_msg,response_preview
2,0,mcp_neko_create_network,call_tfgS95a1jgbql4WWxsgxbp1m__vscode-1754770030459,0,True,,
2,1,mcp_neko_remove_bimodal_interactions,call_2esMNWFAmjgWmmr36Fau67UG__vscode-1754770030460,0,True,,
2,2,mcp_neko_check_disconnected_nodes,call_hgMHdlCoaltZ9Tc4FCpVYSbE__vscode-1754770030461,0,True,,
2,3,mcp_neko_export_network,call_ZV74LIbaZU5iH87FsHQJyoR0__vscode-1754770030462,0,True,,
2,4,mcp_maboss_bnet_to_bnd_and_cfg,call_AGJYLpW3O17LP67SnlypWz5s__vscode-1754770030463,0,True,,
2,5,mcp_maboss_build_simulation,call_YuDZRQmv8nPn2jQDbbIWDEcQ__vscode-1754770030464,0,True,,
2,6,mcp_maboss_set_maboss_output_nodes,call_hyBkccLY78QdNpUX94yqPzRM__vscode-1754770030465,0,True,,
2,7,mcp_maboss_run_simulation,call_Ey816H2muqq26ktRKpcdzy9t__vscode-1754770030466,0,True,,
3,0,mcp_maboss_get_simulation_result,call_egIrOpIYuNlBfs4lbVEcc5Fl__vscode-1754770030467,0,True,,
3,1,mcp_maboss_get_simulation_result,call_Ggun95iHxvdTjzb3XYBb30GQ__vscode-1754770030468,0,True,,
3,2,mcp_maboss_set_maboss_initial_state,call_wR9dqC99X2oKu2wjoeZESG2l__vscode-1754770030469,0,True,,
3,3,mcp_maboss_set_maboss_initial_state,call_nvFmEGun54N77Uzd0z73MCBv__vscode-1754770030470,0,True,,
3,4,mcp_maboss_run_simulation,call_CAjgqrPOmS9aD5UL1269lgD5__vscode-1754770030471,0,True,,
3,5,mcp_maboss_get_simulation_result,call_fLVenxmVjxYPen88NV3Lyajr__vscode-1754770030472,0,True,,
4,0,mcp_maboss_get_maboss_logical_rules,call_Qi7E9C7VxBgYKjxbHOXz32Uc__vscode-1754770030473,0,True,,
4,1,mcp_maboss_simulate_mutation,call_0VNDYA6TKW17yZsSHjkljTfv__vscode-1754770030474,0,True,,
4,2,mcp_maboss_simulate_mutation,call_RFyJLlmL2hD5FIX9Oa4mmbyA__vscode-1754770030475,0,True,,
4,3,mcp_maboss_simulate_mutation,call_sa4LKfyzzHpJhbny2OlY8cpd__vscode-1754770030476,0,True,,
5,0,mcp_maboss_simulate_mutation,call_C0iNZV6DxBih7hHRW8wNlxfJ__vscode-1754770030477,0,True,,
5,1,mcp_maboss_simulate_mutation,call_ptJPrLxPcGigVlVPsh9sPRqq__vscode-1754770030478,0,True,,
5,2,mcp_maboss_update_maboss_parameters,call_dcdijtAmbTgQgeiZs9EkYkhq__vscode-1754770030479,0,True,,
5,3,mcp_physicell_create_session,call_36AzvMqFREeEKzfiltDICJe7__vscode-1754770030480,0,True,,
5,4,mcp_physicell_analyze_biological_scenario,call_8K0A8qCE5iPAIcByz8ibbKgR__vscode-1754770030481,0,True,,
5,5,mcp_physicell_create_simulation_domain,call_Ltb5YoJX4iFun8QzqZpvS3Py__vscode-1754770030482,0,True,,
6,0,mcp_physicell_add_single_substrate,call_gkYke2Q4KHbxp71GZosYaLj3__vscode-1754770030483,0,True,,
7,0,mcp_physicell_add_single_cell_type,call_HoQtbHfmmaITY8Sgkek85PKl__vscode-1754770030484,0,True,,
7,1,mcp_physicell_list_all_available_signals,call_86BC9CsFzGyWImYQ6PPPmKyC__vscode-1754770030485,0,True,,
7,2,mcp_physicell_list_all_available_behaviors,call_5JVBEWSCadbdkJWr4ETGmCIJ__vscode-1754770030486,0,True,,
7,3,mcp_physicell_add_single_cell_rule,call_OwqhGsG13ud2JjvbUC0r03p0__vscode-1754770030487,0,True,,
7,4,mcp_physicell_add_single_cell_rule,call_7Zu4Pwva683uA4AtfGC0k5ot__vscode-1754770030488,0,True,,
7,5,mcp_physicell_add_single_cell_rule,call_VyKDhfeX1ppAhJjsrrL4vNLR__vscode-1754770030489,0,True,,
7,6,mcp_physicell_add_single_cell_rule,call_MFjZEVbMEg42w81l5k2HhYtK__vscode-1754770030490,0,True,,
7,7,mcp_physicell_export_xml_configuration,call_86xIck9rdi2ERzcVe7GCgl0u__vscode-1754770030491,0,True,,
8,0,mcp_physicell_add_physiboss_model,call_TejRfA7WkhGXEoELIKrQiQ7i__vscode-1754770030492,0,True,,
9,0,mcp_physicell_configure_physiboss_settings,call_ntIPWWErlrmBu0W1wemskifw__vscode-1754770030493,0,True,,
9,1,mcp_physicell_add_physiboss_input_link,call_o6zq2ZFuyMD0I0XCdkNLHuaH__vscode-1754770030494,0,True,,
9,2,mcp_physicell_add_physiboss_output_link,call_Ch3JfPTDu3GfgANGrraa6FPt__vscode-1754770030495,0,True,,
9,3,mcp_physicell_add_physiboss_output_link,call_e5qULPKwrq4aSC215GZu8cZc__vscode-1754770030496,0,True,,
10,0,mcp_physicell_export_xml_configuration,call_Lve4fNC4RF4AuQmv0OPAL6ag__vscode-1754770030497,0,True,,
11,0,mcp_physicell_get_simulation_summary,call_3tR7fJZFf1ymBRTjgfCW0oqz__vscode-1754770030498,0,True,,
11,1,mcp_maboss_get_simulation_result,call_HALpf3QHC9Qxm3A0xloFH1dd__vscode-1754770030499,0,True,,
