request_index,round_index,tool_name,tool_call_id,is_mcp_tool,retry_count,success,error_msg,response_preview
0,0,activate_simulation_session_management_tools,call_6rF7MYtHVpd3BRnczX6euB19__vscode-1772019515077,False,0,True,,
0,1,mcp_physicell_create_session,call_0gpXkwd5zVk8iBp75efpp39l__vscode-1772019515078,True,0,True,,
0,2,mcp_physicell_load_xml_configuration,call_uHSyFO9Q0yDXeDxW9sRFYJcV__vscode-1772019515079,True,0,True,,
0,3,mcp_physicell_analyze_loaded_configuration,call_HoaKiXJgbtxGVO8WeLFUSH4Z__vscode-1772019515080,True,0,True,,
0,4,mcp_physicell_analyze_loaded_configuration,call_y29ppm3H4LeXVnxXH8Fz82Vr__vscode-1772019515081,True,0,True,,
0,5,mcp_physicell_list_all_available_behaviors,call_7NKmELGOah3neT3SoBcPOLov__vscode-1772019515082,True,0,True,,
0,6,activate_cell_signal_behavior_management,call_oa0hbm5hkO7gE05cgytAT4R6__vscode-1772019515083,False,0,True,,
0,7,mcp_physicell_list_all_available_signals,call_4bVGSSrSbd3AZwBks5eq2Kld__vscode-1772019515084,True,0,True,,
0,8,mcp_physicell_add_single_cell_rule,call_GI9DBZuGZqWC7GL7PTVksHiB__vscode-1772019515085,True,0,True,,
0,9,mcp_physicell_add_single_cell_rule,call_9aFLDbwnEA4FRhxjUWhRFH8V__vscode-1772019515086,True,0,True,,
0,10,mcp_physicell_add_single_cell_rule,call_nl3YwhHbBl9kBSnvPURTBT0G__vscode-1772019515087,True,0,True,,
0,11,mcp_physicell_add_single_cell_rule,call_w834sPnQuQiUxEKxhOYJZ99s__vscode-1772019515088,True,0,True,,
0,12,mcp_physicell_add_single_cell_rule,call_aRzLW3VUMGYENFmUdo8V7kS9__vscode-1772019515089,True,0,True,,
0,13,mcp_physicell_export_cell_rules_csv,call_ZBGyOOrbAdeanyFX2Ch6iXim__vscode-1772019515090,True,0,True,,
0,14,mcp_physicell_export_xml_configuration,call_Io5BRdNZ4x81G2kuPirfZosf__vscode-1772019515091,True,0,True,,
